0,1,2,3,4,5
".. , . ·Page 3",,,,,
SFN 2468  (04-2010),,,,,
";pec11c ""fi  Sf e W II S 1mu a  ions",,,,,
Date Stimulated !Stimulated  Formation,I Top  (Ft),I Bottom  (Ft) I Stimulation  Stages,,I Volume,!Volume  Units
04/25/2015 Bakken,11080,20580,36,223578,Barrels
Type Treatment,I Lbs Proppant IAcid  %,I Maximum  Treatment  Pressure  (PSI),,,I Maximum  Treatment  Rate  (BBLS/Min)
Sand Frac,3879492,,9244,,75.0
Details 100 Mesh White:  277452,,,,,
40170 Ceramic:  1460460 30/50 Ceramic:  2141580,,,,,
Date Stimulated !Stimulated  Formation,I Top  (Ft),I Bottom  (Ft)IStimulation  Stages,,I Volume,!Volume  Units
Type Treatment,ILbs  Proppant IAcid  %,I Maximum  Treatment  Pressure  (PSI),,,I Maximum  Treatment  Rate  (BBLS/Min)
Details,,,,,
Date Stimulated !Stimulated  Formation,I Top (Ft),I Bottom  (Ft) I Stimulation  Stages,,I Volume,!Volume  Units
Type Treatment,I Lbs Proppant IAcid .%,IMaxi _mum Treatment  Pressure  (PSI),,,I Maximum  Treatment  Rate  (BBLS/Min)
Details,,,,,
Date Stimulated !Stimulated  Formation,I TOP (Ft),I Bottom  (Ft) I Stimulation  Stages,,I Volume,!Volume  Units
Type Treatment,I Lbs Proppant IAcid  %,I Maximum  Treatment  Pressure  (PSI),,,I Maximum  Treatment  Rate  (BBLS/Min)
Details,,,,,
Date Stimulated !Stimulated  Formation,I :Top (Ft),I Bottom  (Ft)IStimulation  Stages,,I Volume,!Volume  Units
Type Treatment,I Lbs Proppant IAcid  %,I Maximum  Treatment  Pressure  (PSI),,,I Maximum  Treatment  Rate  (BBLS/Min)
Details,,,,,
,',,,,
,ADDITIONAL  INFORMATION  AND/OR  LIST OF ATTACHMENTS,,,,
I hereby swear  or affirm that the  information,Email Address,,,Date,
provided  is true . complete  and correct  as determined  from all available  records.,,jswenson@oasispetroleum.com,,,08/20/2015
,Printed  Name,,,I Title,
,Jennifer  Swenson,,,Regulatory  Specialist,
