0,1,2,3,4,5
Page 3,,,,,
sn12468 (04-2010),,,,,
Dato Stimulated,Stimulated  Formation,,Top (Ft),Bottom (Ft)  Stimulation  Stages,Volume Volume  Units
11/E /2013,3 Forks,,10913,20504 31,51878 Barrels
Typ13 Treatment,,Acid%,Lbs Proppant,Maximum  Treatment  Pressure  (PSI),Maximum  Treatment  Rate (BBLS/Min)
Sand  Frac,,,3223232,8540,28.0
Detnils,,,,,
,Pumped  2230502#  20/40 sand  and  992730#  20/40  ceramic.,,,,
Dato Stimulated,Stimulated  Formation,,Top (Ft),Bottom  (Ft)  Stimulation  Stages,Volume Volume  Units
Treatment,,Acid%,Lbs Proppant,Maximum  Treatment  Pressure  (PSI),Maximum  Treatment  Rate (BBLS/Min)
Det<lils,,,,,
