0,1,2,3,4,5,6
Pa!1e 3,,,,,,
SFlll 2468  (04-2010),,,,,,
,S  ecific  Stimulations,,,,,
Da· e Stimu lated,,Stimulated Formation,,Top (Ft),Bottom (Ft)  Stimulation Stages,Volume Volume Units
1/2()/2014,,3 Forks,,10924,19085 27,Barrels 51087
Type Treatment,,,Acid%,Lbs Proppant,Maximum Treatment Pressure (PSI),Maximum Treatment  Rate (BBLS/Min)
Sa11d Frac,,,,3009408,8352,28.0
De :ails,,,,,,
,"Pu nped  124649#  40/70  mesh,  2065196#  20/40  sand  and  819563#  20/40  creamic.",,,,,
Da :e Stimulated,,Stimulated Formation,,Top (Ft),Bottom  (Ft) Stimulation Stages,Volume Units Volume
Type Treatment,,,Acid%,Lbs Proppant,Maximum Treatment  Pressure (PSI),Maximum Treatment  Rate (BBLS/Min)
De '.ails,,,,,,
Date Stimulated,,Stimulated Formation,,Top (Ft),Bottom (Ft)  Stimulation Stages,Volume Units Volume
Type Treatment,,,Acid%,Lbs Proppant,Maximum Treatment  Pressure (PSI),Maximum Treatment  Rate (BBLS/Min)
De tails,,,,,,
Date Stimulated,,Stimulated  Formation,,Top (Ft),Bottom (Ft)  Stimulation Stages,Volume Volume Units
Ty1ie Treatment,,,Acid%,Lbs Proppant,Maximum Treatment  Pressure (PSI),Maximum Treatment  Rate (BBLS/Min)
De tails,,,,,,
Da te Stimulated,,Stimulated  Formation,,Top (Ft),Bottom (Ft)  Stimulation Stages,Volume Volume Units
Ty ie Treatment,,,Acid%,Lbs Proppant,Maximum Treatment  Pressure (PSI),Maximum Treatment  Rate (BBLS/Min)
De tails,,,,,,
,ADDITIONAL  INFORMATION  AND/OR  LIST OF ATTACHMENTS,,,,,
I h',swear or affirm that the information,,,Email Address,,Date
pre 1de·,"vided is true, complete  and correct as ermined from all available records.",,,Terry.Olson@clr .com,,4/4/2014
nature Si(,,,,Printed Name,rit le,
,",",,,1 erry L. Olson,,Regulatory  Compliance  Specialist
(\,,,,,,
