0,1,2,3,4,5
Page 3,,,,,
1  SFN  2468  (04-2010),,,,,
Date Stimulated,Stimulated  Formation,,Top  (Ft),Bottom  (Ft)  Stimulation  Stages,Volume Volume  Units
10/31 l/2013,3 Forks,,10888,20055 25,Barrels 45855
Type  Treatment,,Acid%,Lbs  Proppant,Maximum  Treatment  Pressure  (PSI),Maximum  Treatment  Rate  (BBLS/Min)
Sand  Frac,,,2980006,8500,25.0
Details,,,,,
,Purr  ped  2056996#  20/40 sand  and  923010#  20/40 ceramic.,,,,
Date  Stimulated,Stimulated  Formation,,Top  (Ft),Bottom  (Ft)  Stimulation  Stages,Volume  Units Volume
Typo  Treatment,,Acid%,Lbs  Proppant,Maximum  Treatment  Pressure  (PSI),Maximum  Treatment  Rate  (BBLS/Min)
Detciils,,,,,
Dato Stimulated,Stimulated  Formation,,Top  (Ft),Bottom  (Ft)  Stimulation  Stages,Volume  Units Volume
Treatment,,Acid%,Lbs  Proppant,Maximum  Treatment  Pressure  (PSI),Maximum  Treatment  Rate  (BBLS/Min)
Details,,,,,
Datil  Stimulated,Stimulated  Formation,,Top  (Ft),Bottom  (Ft)  Stimulation  Stages,Volume Volume  Units
Treatment,,Acid%,Lbs  Proppant,Maximum  Treatment  Pressure  (PSI),Maximum  Treatment  Rate  (BBLS/Min)
Detiils,,,,,
Stimulated,Stimulated  Formation,,Top  (Ft),Bottom  (Ft)  Stimulation  Stages,Volume Volume  Units
Type  Treatment,,Acid%,Lbs  Proppant,Maximum  Treatment  Pressure  (PSI),Maximum  Treatment  Rate  (BBLS/Min)
Det3ils,,,,,
A[IDITIONAL,INFORMATION  AND/OR  LIST OF ATTACHMENTS,,,,
,I hrneby  swear  or affirm  that  the  information,,Email Address,,Date
,"provided  is true,  complete  and correct  as",,Terry.Olson@clr.com,,3/26/2014
,detarmined  from  all available  records .,,,,
Signature,,,Printed  Name,Title,
,,,er L. Olson,Regulato,Compliance  Specialist
