0,1,2,3,4
3,,,,
SFI\  2468 (04-2010),,,,
Da!E' Stimu lated,Stimulated  Formation,Top (Ft),Bottom (Ft)  Stimulation  Stages,Volume Volume  Units
2/5/:!014,Middle  Bakken,10850,19185 29,47452 Barrels
Typo Treatment,Acid%,Lbs Proppant,Maximum Treatment  Pressure (PSI),Maximum Treatment  Rate (BBLS/Min)
San'1 Frac,,3069694,7468,26.0
Del< ils,,,,
,"Pumped  130508# 40/70 mesh,  2207547# 20/40 sand  and  862147# 20/40 creamic.",,,
Date  Stimulated,Stimulated  Formation,Top (Ft),Bottom  (Ft)  Stimulation  Stages,Volume Volume  Units
TypE' Treatment,Acid%,Lbs Proppant,Maximum Treatment  Pressure (PSI),Maximum Treatment  Rate (BBLS/Min)
Detc:ils,,,,
