0,1,2,3,4,5
. Page 3,,,,,
SFN 2468  (04-2010),,,,,
",pec11c II S W ""fi  Sf e 1mu a ions",,,,,
Date Stimulated !Stimulated  Formation,I Top  (Ft),"I Bottom  (Ft),Stimulation  Stages",,I Volume,!Volume  Units
07/13/2015 Bakken,11108,20592,36,220489,Barrels
Type Treatment,I Lbs Proppant IAcid  %,I Maximum  Treatment  Pressure  (PSI),,,I Maximum  Treatment  Rate (BBLS/Min)
Sand  Frac,4243874,,9096,,71.0
Details 100  Mesh  White : 314040,,,,,
40/70 White:  1556974 30/50 White:  2372860,,,,,
Date Stimulated I Stimulated  Formation,I Top  (Ft),I Bottom  (Ft)IStimulation  Stages,,I Volume,!Volume  Units
Type Treatment,I Lbs Proppant IAcid  %,I Maximum  Treatment  Pressure  (PSI),,,I Maximum  Treatment  Rate (BBLS/Min)
Details,,,,,
Date Stimulated !Stimulated  Formation,I Top  (Ft),I Bottom  (Ft)IStimulation  Stages,,I Volume,!Volume  Units
Type Treatment,I Lbs Proppant IAcid  %,I Maximum  Treatment  Pressure  (PSI),,,I Maximum  Treatment  Rate (BBLS/Min)
Details,,,,,
Date Stimulated !Stimulated  Formation,I Top  (Ft),I Bottom  (Ft) ISt imulation  Stages,,I Volume,!Volume  Units
Type Treatment,I Lbs Proppant IAcid  %,I Maximum  Treatment  Pressure  (PSI),,,I Maximum  Treatment  Rate (BBLS/Min)
Details,,,,,
Date Stimulated !Stimulated  Formation,I Top (Ft),I Bottom  (Ft)IStimulation  Stages,,I Volume,!Volume  Units
Type Treatment,I Lbs Proppant IAcid  %,I Maximum  Treatment  Pressure  (PSI),,,I Maximum  Treatment  Rate (BBLS/Min)
Details,,,,,
,ADDITIONAL INFORMATION  AND/OR  LIST OF ATTACHMENTS,,,,
I hereby swear or affirm that the information,Email Address,,,Date,
"provided is true , complete  and correct  as determined from all available  records .",,jswenson@oasispetroleum.com,,,10/05/2015
,Printed  Name,,,I Title,
,Jennifer  Swenson,,,Regulatory  Specialist,
