0,1,2,3,4,5
PagE! 3,,,,,
SFN 2468 (04-2010),,,,,
,Wei I S  ecific  Stimulations,,,,
Date Stimulated,Stimulated Formation,,Top (Ft),Bottom (Ft) Stimulation Stages,Volume Volume  Units
11/21/2013,3 Forks,,10858,22005 37,64611 Barrels
Type  Treatment,,Acid%,Lbs Proppant,Maximum Treatment Pressure (PSI),Maximum Treatment Rate (BBLS/Min)
Sanil  Frac,,,3841831,8539,24.0
Details,,,,,
,"Pumped  39730#  40/70  mesh,  2734057#  20/40  sand  and 1068044#  20/40 ceramic.",,,,
Date Stimulated,Stimulated Formation,,Top (Ft),Bottom (Ft)  Stimulation Stages,Volume Units Volume
Type Treatment,,Acid %,Lbs Proppant,Maximum Treatment Pressure (PSI),Maximum Treatment Rate (BBLS/Min)
Details,,,,,
