0,1,2,3,4,5
Page 3,,,,,
SFN 2468  (04-2010),,,,,
;pec11c W 11  S e,S timulations,,,,
Date Stimulated,!Stimulated  Formation,,I Top (Ft),I Bottom  (Ft)IStimulation  Stages,!Volume  Units I Volume
3/2/2014,Bakken,,10968,41 23122,Barrels 74589
Type Treatment,,1Acid%,I Lbs  Proppant,I Maximum  Treatment  Pressure  (PSI),I Maximum  Treatment  Rate (BBLS/Min)
Sand  Frac,,,3788746,7979,31.0
Details,,,,,
,"Pumped  285982 # 40/70  mesh,  2418523#  20/40  sand  and  1084241#  20/40  ceramic.",,,,
Date Stimulated,!Stimulated  Formation,,I  Top  (Ft),I Bottom  (Ft)IStimulation  Stages,!Volume  Units I Volume
Type Treatment,,IAcid  %,I Lbs Proppant,I Maximum  Treatment  Pressure  (PSI),I Maximum  Treatment  Rate (BBLS/Min)
Details,,,,,
